Standort	Geo_Breite	Geo_Laenge
Nürtingen	48.632	9.326
Kiefersfelden-Gach	47.619	12.166
Oberschleißheim	48.244	11.553
Oberstdorf	47.398	10.276
Öhringen	49.207	9.518
Offenbach/M. (Stadt)	50.095	8.755
Olbersdorf	50.865	14.763
Oldenburg (A)	53.102	8.252
Oldenburg	53.176	8.182
Oschatz	51.296	13.093
Osnabrück	52.255	8.053
Osterfeld	51.087	11.929
Parsberg/Oberpfalz-Eglwang	49.151	11.690
Passau-Oberhaus	48.578	13.469
Pausa-Unterreichenau	50.600	11.997
Pelzerhaken	54.089	10.877
Perl-Nennig	49.535	6.379
Pforzheim-Eutingen	48.906	8.741
Pforzheim-Ispringen	48.933	8.697
Pfullendorf	47.934	9.287
Plauen	50.482	12.130
Plön (See)	54.159	10.402
Pommelsbrunn-Mittelburg	49.478	11.536
Potsdam	52.381	13.062
Potsdam (Säkularstation)	52.382	13.062
Puch	48.188	11.221
Putbus	54.364	13.477
Quedlinburg	51.795	11.132
Querfurt-Mühle Lodersleben	51.389	11.541
Quickborn	53.733	9.878
Rahden-Kleinendorf	52.446	8.591
Raisting	47.909	11.105
Weingarten, Kr. Ravensburg	47.806	9.621
Regensburg	49.042	12.102
Reichenhall, Bad	47.724	12.874
Reichshof-Eckenhagen	50.991	7.696
Renningen-Ihinger Hof	48.742	8.924
Rheinau-Memprechtshofen	48.670	7.994
Rheine-Bentlage	52.289	7.387
Rheinfelden	47.559	7.772
Rheinstetten	48.973	8.330
Altheim, Kreis Biberach	48.148	9.460
Rodewisch	50.526	12.409
Rosenheim	47.882	12.125
Rostock-Warnemünde	54.180	12.081
Rotenburg (Wümme)	53.129	9.340
Roth	49.216	11.104
Rottenburg-Kiebingen	48.470	8.969
Rottweil	48.181	8.636
Kreuznach, Bad	49.850	7.871
Ruhwinkel	54.093	10.222
Saarbrücken-Ensheim	49.213	7.108
Saarbrücken-Sankt Johann	49.223	7.017
Saldenburg-Entschenreuth	48.783	13.317
Salzhemmendorf-Lauenstein	52.078	9.552
Salzuflen, Bad	52.104	8.752
Sankt Peter-Ording	54.328	8.603
Sassendorf, Bad-Ostinghausen	51.633	8.187
Schaafheim-Schlierbach	49.919	8.967
Schieder	51.912	9.153
Wernigerode-Schierke	51.766	10.653
Schleiz	50.568	11.804
Schleswig	54.528	9.549
Schluchsee	47.821	8.186
Schmücke	50.654	10.770
Schönwald/Schwarzwald	48.100	8.197
Schotten	50.492	9.123
Schulenberg	51.837	10.431
Schwäbisch Hall-Bibersfeld	49.082	9.689
Schwandorf	49.328	12.087
Schwangau-Horn	47.577	10.718
Schwarzburg	50.644	11.194
Schwerin	53.642	11.387
Schwesing	54.517	9.142
Seehausen	52.891	11.730
Selb/Oberfranken-Wildenau	50.197	12.173
Sigmarszell-Zeisertsweiler	47.578	9.740
Simbach/Inn	48.272	13.027
Sinsheim	49.245	8.879
Soltau	52.960	9.793
Sondershausen	51.369	10.880
Sonneberg-Neufang	50.375	11.183
Sontra	51.061	9.927
Spören-Prussendorf	51.604	12.109
Stegen	47.987	7.947
Stötten	48.666	9.865
Wagersrott	54.665	9.805
Straubing	48.828	12.560
Stuttgart-Stadt	48.769	9.181
Stuttgart (Schnarrenberg)	48.828	9.200
Stuttgart-Echterdingen	48.688	9.223
Teterow	53.761	12.557
Tholey	49.474	7.038
Titisee-Neustadt-Langenordnach	47.939	8.193
Titisee-Neustadt-Titisee	47.899	8.146
Todtmoos	47.728	7.999
